Total Cargo,Total Container Throughput,Bunker Sales
599642.7,37467.6,49988.8
590738.3,36870.9,49833
626521.2,37195.6,47463.5
630125.3,36599.3,49798.8
627688.1,33666.6,50636.4
593296.7,30903.6,48614.5
575845.8,30922.3,45155.5
581268,33869.3,42416.8
560887.7,32578.7,42682.2
